  iteration  buy     world           em              emu sc
         91  world   64000 (70.33%)  18000 (19.78%)  9000 (9.89%)
         92  world   65000 (70.65%)  18000 (19.57%)  9000 (9.78%)
         93  em      65000 (69.89%)  19000 (20.43%)  9000 (9.68%)
         94  world   66000 (70.21%)  19000 (20.21%)  9000 (9.57%)
         95  emu sc  66000 (69.47%)  19000 (20.00%)  10000 (10.53%)
         96  world   67000 (69.79%)  19000 (19.79%)  10000 (10.42%)
         97  world   68000 (70.10%)  19000 (19.59%)  10000 (10.31%)
         98  em      68000 (69.39%)  20000 (20.41%)  10000 (10.20%)
         99  world   69000 (69.70%)  20000 (20.20%)  10000 (10.10%)
        100  world   70000 (70.00%)  20000 (20.00%)  10000 (10.00%)
